source,iteration,compliance,volume_fraction
MMA,1,366.656837510369,0.4999999999999998
MMA,2,365.7294088675605,0.4998430300152617
MMA,3,364.1366023615767,0.4997350982698689
MMA,4,362.2763555098704,0.4996636923454106
MMA,5,360.3233768645897,0.4996192677049182
MMA,6,352.6684238197204,0.4984453380821608
MMA,7,343.66428021572335,0.4983514773342806
MMA,8,306.38101433666384,0.490158191079991
MMA,9,269.4035413863214,0.4938972473857189
MMA,10,208.2843986491658,0.4674620442578952
MMA,11,167.10873551617618,0.4962593289349072
MMA,12,140.518118573222,0.49416351684834
MMA,13,127.90318330997384,0.4992709894823735
MMA,14,114.6530275768475,0.5122865350539693
MMA,15,116.9455424751157,0.5020942621317827
MMA,16,118.28461632684784,0.5000713007224057
MMA,17,118.89516183159613,0.4998556817432217
MMA,18,115.69834457186332,0.4976984328492441
MMA,19,110.7996869417287,0.5000371293899066
MMA,20,110.89082086466784,0.5000745103504014
MMA,21,111.051694449559,0.4999887071796542
MMA,22,105.39275710225068,0.4994264104925025
MMA,23,99.07626096507984,0.4992673846604119
MMA,24,92.97552193999464,0.4904880121278049
MMA,25,87.58199070567329,0.4966894140926352
MMA,26,82.57212132763915,0.4916975928908453
MMA,27,79.02953065533796,0.4952647363967171
MMA,28,76.9390749147338,0.4982712369549502
MMA,29,74.87890955977223,0.4977250581875319
MMA,30,73.5966692664984,0.4976368114063391
MMA,31,72.68063617968804,0.4980852954479587
MMA,32,71.94017802530584,0.4985400202174183
MMA,33,71.36750566594935,0.4990530914109885
MMA,34,70.99348495308178,0.4993336376971524
MMA,35,70.7359914057225,0.4995022174798947
MMA,36,70.54999979380918,0.4996333335132422
MMA,37,70.4127470050964,0.4997210334044458
MMA,38,70.30997059989846,0.4997800725072474
MMA,39,70.2296265117598,0.4998284607714247
MMA,40,70.16850284471244,0.4998766839693793
MMA,41,70.12387986419283,0.4999018873154042
MMA,42,70.08784581779328,0.4999288993504395
MMA,43,70.05988012975395,0.4999392143372148
MMA,44,70.0376333897133,0.4999522968382607
MMA,45,70.01950252416611,0.4999604331440526
MMA,46,70.00219858004475,0.4999673618453676
MMA,47,69.98619389629161,0.4999788912726758
MMA,48,69.9765442870839,0.4999784221630561
MMA,49,69.96807474795531,0.4999818758450584
MMA,50,69.9603830684385,0.4999822946365089
JAXTOuNN,1,234.48793029785156,0.5662317276000977
JAXTOuNN,2,151.00405883789062,0.6067436933517456
JAXTOuNN,3,109.80339813232422,0.6408828496932983
JAXTOuNN,4,98.12167358398438,0.6376255750656128
JAXTOuNN,5,102.1135482788086,0.6074845790863037
JAXTOuNN,6,111.87029266357422,0.5698902010917664
JAXTOuNN,7,111.47378540039062,0.5537080764770508
JAXTOuNN,8,101.77861785888672,0.5537580251693726
JAXTOuNN,9,99.81261444091797,0.5462585687637329
JAXTOuNN,10,99.54078674316406,0.5338253378868103
JAXTOuNN,11,97.78783416748047,0.5258066058158875
JAXTOuNN,12,89.60057830810547,0.5408220887184143
JAXTOuNN,13,81.85694885253906,0.5595097541809082
JAXTOuNN,14,76.96385192871094,0.5698000192642212
JAXTOuNN,15,76.40970611572266,0.5627912282943726
JAXTOuNN,16,78.03557586669922,0.5479225516319275
JAXTOuNN,17,77.6615982055664,0.5413872003555298
JAXTOuNN,18,75.6258773803711,0.5429612398147583
JAXTOuNN,19,74.48954010009766,0.5422383546829224
JAXTOuNN,20,75.03062438964844,0.5344468355178833
JAXTOuNN,21,75.01348114013672,0.5305996537208557
JAXTOuNN,22,73.70768737792969,0.5325808525085449
JAXTOuNN,23,73.62846374511719,0.5293146967887878
JAXTOuNN,24,73.97406768798828,0.5229470729827881
JAXTOuNN,25,73.2325210571289,0.5224236845970154
JAXTOuNN,26,72.16382598876953,0.5251109004020691
JAXTOuNN,27,72.23309326171875,0.5226659178733826
JAXTOuNN,28,72.11630249023438,0.5198562145233154
JAXTOuNN,29,71.8469467163086,0.5180113911628723
JAXTOuNN,30,71.24748992919922,0.5201097130775452
JAXTOuNN,31,70.98187255859375,0.5191009640693665
JAXTOuNN,32,70.96866607666016,0.516755998134613
JAXTOuNN,33,70.7890396118164,0.5162298679351807
JAXTOuNN,34,70.6584701538086,0.5155930519104004
JAXTOuNN,35,70.43536376953125,0.5154552459716797
JAXTOuNN,36,69.9307632446289,0.5168671607971191
JAXTOuNN,37,70.01654815673828,0.514900803565979
JAXTOuNN,38,69.9412841796875,0.5137515664100647
JAXTOuNN,39,69.9767837524414,0.5124022960662842
JAXTOuNN,40,69.77879333496094,0.5130512118339539
JAXTOuNN,41,69.54292297363281,0.5134651064872742
JAXTOuNN,42,69.51319885253906,0.5131238698959351
JAXTOuNN,43,69.07315063476562,0.5155709385871887
JAXTOuNN,44,69.58401489257812,0.5114064812660217
JAXTOuNN,45,69.75818634033203,0.5085023641586304
JAXTOuNN,46,69.29893493652344,0.5103538632392883
JAXTOuNN,47,69.08149719238281,0.5114620923995972
JAXTOuNN,48,69.36184692382812,0.5106533765792847
JAXTOuNN,49,68.69388580322266,0.5149976015090942
JAXTOuNN,50,69.17955017089844,0.5113884210586548
SIREN,1,184.8726031877145,0.6265376828150002
SIREN,2,146.9128458217714,0.679442683555228
SIREN,3,129.63873894694777,0.7079022843424211
SIREN,4,119.51605571157623,0.7265002179944452
SIREN,5,113.7318217296222,0.7383127985566044
SIREN,6,107.53659183284745,0.7511145345039703
SIREN,7,102.20364683083267,0.7622032238197516
SIREN,8,97.10353386890233,0.7744902499372527
SIREN,9,92.63737998165928,0.7844519979117378
SIREN,10,89.11005145849109,0.7906984061897049
SIREN,11,89.28566626105007,0.7773543925481475
SIREN,12,95.89118355735079,0.7295689777421669
SIREN,13,102.21518488578369,0.69138278611659
SIREN,14,106.40414463647798,0.661960323789387
SIREN,15,113.23023727660258,0.6286348855911819
SIREN,16,114.26177252163482,0.616128491643831
SIREN,17,108.58544281818723,0.6201720742636465
SIREN,18,111.76281996321613,0.6022942770024093
SIREN,19,112.36131340212228,0.5915204136221422
SIREN,20,111.27632370840269,0.5836000662490647
SIREN,21,113.41092905500159,0.565813873762438
SIREN,22,111.69806406366394,0.5573022100492682
SIREN,23,111.80723767176778,0.5436831177290923
SIREN,24,109.31864249311243,0.5360366378846633
SIREN,25,110.08680459634593,0.5180696495650099
SIREN,26,109.48568495899642,0.5037152779118227
SIREN,27,114.40720836476495,0.4768728883013832
SIREN,28,100.80222489101538,0.5076651386279731
SIREN,29,101.27736108778734,0.49321693819681134
SIREN,30,92.2780345375972,0.5197112186404312
SIREN,31,91.7965577805715,0.5074457192017839
SIREN,32,105.02602807320106,0.4693450566658717
SIREN,33,99.34547897434608,0.461904781284102
SIREN,34,91.97323392658919,0.4835255372682167
SIREN,35,83.31119184861478,0.5285729435756719
SIREN,36,80.47330230027114,0.5349094176737148
SIREN,37,80.88544361674163,0.5228790906065419
SIREN,38,83.76012684457777,0.49734786151802435
SIREN,39,82.63850494048094,0.5001857050466547
SIREN,40,84.15853026729472,0.48579783085725803
SIREN,41,81.78738941742387,0.49316689913834544
SIREN,42,77.63978799350383,0.5175599861135468
SIREN,43,76.18974360117369,0.5171005163667144
SIREN,44,77.0052708293145,0.5053941295896444
SIREN,45,80.55832644372171,0.4809223922761352
SIREN,46,80.99970827653729,0.4758818573273383
SIREN,47,78.89237991067067,0.4875418968323308
SIREN,48,75.81772952780362,0.5130812869459869
SIREN,49,74.77063059603526,0.513068841866671
SIREN,50,75.5757601691426,0.49729945721419394
